Year,Geographical region,Country of nationality,Total,Work,Study,Family,Other 
 2007,America Central and South,Argentina,"52,700","1,230","1,020",105,"50,300"
 2007,Europe Other,Armenia,"3,250",120,150,15,"2,960"
 2007,America Central and South,Aruba,70,15,5,0,55
 2007,Oceania,Australia,"1,070,000","26,500","1,940","1,360","1,040,000"
 2007,EU 14,Austria,z,z,z,z,z
 2007,Europe Other,Azerbaijan,"9,700",150,550,50,"8,950"
 2007,America Central and South,"Bahamas, The","3,420",20,105,5,"3,290"
 2007,Middle East,Bahrain,"18,900",120,680,10,"18,100"
 2007,Asia South,Bangladesh,"55,500","1,660","4,310","3,320","46,200"
 2007,America Central and South,Barbados,"11,700",115,170,55,"11,400"
 2007,Europe Other,Belarus,"16,500",970,895,100,"14,500"
 2007,EU 14,Belgium,z,z,z,z,z
 2007,America Central and South,Belize,"1,400",15,25,5,"1,360"
 2007,Africa Sub-Saharan,Benin,"1,010",10,20,5,970
 2007,Other,Bermuda (British),240,0,5,0,235
 2007,Asia South,Bhutan,225,5,20,0,200
 2007,America Central and South,Bolivia,"4,620",25,180,30,"4,390"
 2007,America Central and South,"Bonaire, Sint Eustatius and Saba",z,z,z,z,z
 2007,Europe Other,Bosnia and Herzegovina,"5,940",70,110,35,"5,720"
 2007,Africa Sub-Saharan,Botswana,"5,030",335,465,25,"4,200"
 2007,America Central and South,Brazil,"206,000","1,430","10,100",720,"193,000"
 2007,Other,British overseas citizens,"7,770",25,60,15,"7,670"
 2007,Asia South East,Brunei,"7,670",140,"1,040",5,"6,480"
 2007,EU 2,Bulgaria,z,z,z,z,z
 2007,Africa Sub-Saharan,Burkina,500,15,15,*,470
 2007,Asia South East,Burma,"3,520",75,380,100,"2,960"
 2007,Africa Sub-Saharan,Burundi,590,*,30,25,540
 2007,Asia South East,Cambodia,760,55,45,30,630
 2007,Africa Sub-Saharan,Cameroon,"11,000",140,535,70,"10,300"
 2007,America North,Canada,"1,080,000","7,770","5,730",660,"1,070,000"
 2007,Africa Sub-Saharan,Cape Verde,490,25,45,*,415
 2007,Other,Cayman Islands (British),45,0,0,0,45
 2007,Africa Sub-Saharan,Central African Republic,80,*,15,*,65
 2007,Africa Sub-Saharan,Chad,380,*,20,5,355
 2007,America Central and South,Chile,"28,800",240,"1,090",55,"27,400"
 2007,Asia East,China,"314,000","5,180","27,400","1,000","280,000"
 2007,Oceania,Christmas Island,0,0,0,0,0
 2007,Oceania,Cocos (Keeling) Islands,*,0,0,0,*
 2007,America Central and South,Colombia,"38,300",360,"4,440",325,"33,100"
 2007,Africa Sub-Saharan,Comoros,140,*,0,*,135
 2007,Africa Sub-Saharan,Congo,"5,600",20,135,120,"5,330"
 2007,Africa Sub-Saharan,Congo (Democratic Republic),"2,790",40,40,255,"2,450"
 2007,Oceania,Cook Islands,*,0,*,0,0
 2007,America Central and South,Costa Rica,"5,340",45,60,10,"5,220"
 2007,EU Other,Croatia,"53,000",230,755,55,"52,000"
 2007,America Central and South,Cuba,"5,710",325,60,120,"5,210"
 2007,America Central and South,Curacao,z,z,z,z,z
 2007,EU Other,Cyprus,z,z,z,z,z
 2007,Europe Other,Cyprus (Northern part of),500,5,15,10,470
 2007,EU 8,Czech Republic,z,z,z,z,z
 2007,EU 14,Denmark,z,z,z,z,z
 2007,Africa Sub-Saharan,Djibouti,290,*,10,10,265
 2007,America Central and South,Dominica,"1,550",20,30,25,"1,480"
 2007,America Central and South,Dominican Republic,"3,020",80,75,60,"2,800"
 2007,Asia South East,East Timor,110,5,*,0,105
 2007,America Central and South,Ecuador,"6,750",55,475,100,"6,110"
 2007,Africa North,Egypt,"51,200",990,"1,720",300,"48,200"
 2007,America Central and South,El Salvador,"2,490",20,20,5,"2,450"
 2007,Africa Sub-Saharan,Equatorial Guinea,235,10,25,0,205
 2007,Africa Sub-Saharan,Eritrea,"1,660",220,10,70,"1,360"
 2007,EU 8,Estonia,z,z,z,z,z
 2007,Africa Sub-Saharan,Ethiopia,"6,800",315,125,225,"6,130"
 2007,Other,Falkland Islands (British),*,0,0,0,*
 2007,Europe Other,Faroe Islands,360,0,10,0,355
 2007,Oceania,Fiji,"3,490",35,20,50,"3,380"
 2007,EU 14,Finland,z,z,z,z,z
 2007,Europe Other,Former Yugoslavia,"24,600",150,730,70,"23,700"
 2007,EU 14,France,z,z,z,z,z
 2007,America Central and South,French Guiana,0,0,0,0,0
 2007,Oceania,French Polynesia,0,0,0,0,0
 2007,Africa Sub-Saharan,Gabon,800,15,45,5,735
 2007,Africa Sub-Saharan,"Gambia, The","10,100",100,435,370,"9,180"
 2007,Europe Other,Georgia,"7,780",155,755,35,"6,830"
 2007,EU 14,Germany,z,z,z,z,z
 2007,Africa Sub-Saharan,Ghana,"66,400","1,920","1,250",830,"62,400"
 2007,Other,Gibraltar (British),50,0,0,0,50
 2007,EU 14,Greece,z,z,z,z,z
 2007,Europe Other,Greenland,30,0,0,0,30
 2007,America Central and South,Grenada,"3,500",30,35,45,"3,390"
 2007,America Central and South,Guadeloupe,0,0,0,0,0
 2007,Oceania,Guam,*,0,0,0,*
 2007,America Central and South,Guatemala,"4,220",20,130,10,"4,060"
 2007,Africa Sub-Saharan,Guinea,"1,610",40,60,25,"1,490"
 2007,Africa Sub-Saharan,Guinea-Bissau,325,0,25,*,300
 2007,America Central and South,Guyana,"5,150",130,90,80,"4,860"
 2007,America Central and South,Haiti,460,5,10,5,445
 2007,Oceania,Heard Island and McDonald Islands,0,0,0,0,0
 2007,America Central and South,Honduras,"2,100",10,20,5,"2,060"
 2007,Asia East,Hong Kong,"125,000",575,"4,640",185,"119,000"
 2007,EU 8,Hungary,z,z,z,z,z
 2007,Europe Other,Iceland,z,z,z,z,z
 2007,Asia South,India,"913,000","46,400","24,400","7,230","835,000"
 2007,Asia South East,Indonesia,"27,200","1,570",755,130,"24,800"
 2007,Middle East,Iran,"60,300",550,"2,430",415,"57,000"
 2007,Middle East,Iraq,"9,170",130,530,"1,010","7,500"
 2007,EU 14,Ireland,z,z,z,z,z
 2007,Middle East,Israel,"141,000",845,"1,020",140,"139,000"
 2007,EU 14,Italy,z,z,z,z,z
 2007,Africa Sub-Saharan,Ivory Coast,"5,440",60,135,40,"5,210"
 2007,America Central and South,Jamaica,"21,600",730,255,775,"19,800"
 2007,Asia East,Japan,"521,000","4,590","15,400",425,"501,000"
 2007,Middle East,Jordan,"22,400",205,"1,110",90,"21,000"
 2007,Asia Central,Kazakhstan,"25,100",285,"3,500",70,"21,200"
 2007,Africa Sub-Saharan,Kenya,"44,600",660,925,585,"42,400"
 2007,Oceania,Kiribati,135,0,*,0,135
 2007,Asia East,Korea (North),665,5,25,*,630
 2007,Asia East,Korea (South),"265,000","1,380","10,900",170,"253,000"
 2007,Europe Other,Kosovo,"2,470",10,105,130,"2,220"
 2007,Middle East,Kuwait,"62,600",180,"1,410",20,"60,900"
 2007,Asia Central,Kyrgyzstan,"2,270",50,245,30,"1,950"
 2007,Asia South East,Laos,200,0,*,15,185
 2007,EU 8,Latvia,z,z,z,z,z
 2007,Middle East,Lebanon,"28,400",365,390,110,"27,600"
 2007,Africa Sub-Saharan,Lesotho,985,30,10,*,940
 2007,Africa Sub-Saharan,Liberia,970,20,10,10,935
 2007,Africa North,Libya,"15,100",175,"3,770",60,"11,100"
 2007,Europe Other,Liechtenstein,z,z,z,z,z
 2007,EU 8,Lithuania,z,z,z,z,z
 2007,EU 14,Luxembourg,z,z,z,z,z
 2007,Asia East,Macau,"1,170",5,125,5,"1,030"
 2007,Europe Other,Macedonia,"5,740",255,185,45,"5,260"
 2007,Africa Sub-Saharan,Madagascar,575,5,25,10,535
 2007,Africa Sub-Saharan,Malawi,"6,060",245,650,90,"5,080"
 2007,Asia South East,Malaysia,"182,000","2,270","8,480",335,"171,000"
 2007,Asia South,Maldives,"1,520",55,90,5,"1,370"
 2007,Africa Sub-Saharan,Mali,830,60,40,10,720
 2007,EU Other,Malta,z,z,z,z,z
 2007,Oceania,Marshall Islands,30,0,5,0,25
 2007,America Central and South,Martinique,0,0,0,0,0
 2007,Africa North,Mauritania,735,5,30,*,700
 2007,Africa Sub-Saharan,Mauritius,"37,500",370,"1,100",295,"35,700"
 2007,Africa Sub-Saharan,Mayotte,*,0,*,0,0
 2007,America Central and South,Mexico,"115,000",580,"3,090",135,"112,000"
 2007,Oceania,Micronesia,90,0,*,0,90
 2007,Europe Other,Moldova,"4,730","1,200",115,30,"3,390"
 2007,Europe Other,Monaco,970,10,25,*,940
 2007,Asia East,Mongolia,"3,850",55,975,30,"2,790"
 2007,Europe Other,Montenegro,325,5,60,*,260
 2007,Other,Montserrat (British),755,0,0,0,755
 2007,Africa North,Morocco,"24,000",360,665,390,"22,600"
 2007,Africa Sub-Saharan,Mozambique,"1,080",35,35,15,"1,000"
 2007,Africa Sub-Saharan,Namibia,"5,240",105,40,25,"5,080"
 2007,Oceania,Nauru,100,5,0,5,95
 2007,Asia South,Nepal,"27,300",855,"1,390","4,050","21,000"
 2007,EU 14,Netherlands,z,z,z,z,z
 2007,America Central and South,Netherlands Antilles,0,0,0,0,0
 2007,Oceania,New Caledonia,*,0,*,0,0
 2007,Oceania,New Zealand,"300,000","8,490",535,630,"291,000"
 2007,America Central and South,Nicaragua,"1,570",10,30,5,"1,530"
 2007,Africa Sub-Saharan,Niger,"1,010",15,15,5,970
 2007,Africa Sub-Saharan,Nigeria,"295,000","2,170","8,990","1,830","282,000"
 2007,Oceania,Niue,30,0,0,0,30
 2007,Oceania,Norfolk Island,0,0,0,0,0
 2007,Oceania,Northern Mariana Islands,0,0,0,0,0
 2007,Europe Other,Norway,z,z,z,z,z
 2007,Middle East,Occupied Palestinian Territories,"2,080",30,180,15,"1,860"
 2007,Middle East,Oman,"13,300",100,"1,430",10,"11,700"
 2007,Other,Other and unknown,"3,480",35,15,20,"3,410"
 2007,Asia South,Pakistan,"255,000","3,120","12,300","10,100","230,000"
 2007,Oceania,Palau,30,0,*,*,25
 2007,America Central and South,Panama,"3,130",20,205,10,"2,890"
 2007,Oceania,Papua New Guinea,355,10,5,*,340
 2007,America Central and South,Paraguay,"1,540",20,55,10,"1,460"
 2007,America Central and South,Peru,"10,900",150,490,140,"10,100"
 2007,Asia South East,Philippines,"117,000","8,830","1,210","2,100","104,000"
 2007,Other,Pitcairn Islands (British),45,0,0,0,45
 2007,EU 8,Poland,z,z,z,z,z
 2007,EU 14,Portugal,z,z,z,z,z
 2007,America North,Puerto Rico,0,0,0,0,0
 2007,Middle East,Qatar,"24,100",45,"1,370",5,"22,700"
 2007,Other,Refugee,"32,000",20,65,55,"31,900"
 2007,Africa Sub-Saharan,Reunion,55,0,5,0,50
 2007,EU 2,Romania,z,z,z,z,z
 2007,Europe Other,Russia,"259,000","5,000","21,800",705,"232,000"
 2007,Africa Sub-Saharan,Rwanda,"1,380",15,60,30,"1,270"
 2007,Oceania,Samoa,230,10,5,*,215
 2007,Europe Other,San Marino,365,5,15,0,350
 2007,Africa Sub-Saharan,Sao Tome and Principe,205,5,25,*,175
 2007,Middle East,Saudi Arabia,"79,200",775,"7,530",50,"70,900"
 2007,Africa Sub-Saharan,Senegal,"3,520",135,150,30,"3,200"
 2007,Europe Other,Serbia,"8,210",230,625,85,"7,270"
 2007,Europe Other,Serbia and Montenegro,z,z,z,z,z
 2007,Africa Sub-Saharan,Seychelles,"3,860",45,70,25,"3,720"
 2007,Africa Sub-Saharan,Sierra Leone,"12,400",75,260,230,"11,800"
 2007,Asia South East,Singapore,"84,300",760,"1,500",120,"81,900"
 2007,EU 8,Slovakia,z,z,z,z,z
 2007,EU 8,Slovenia,z,z,z,z,z
 2007,Oceania,Solomon Islands,110,*,*,0,110
 2007,Africa Sub-Saharan,Somalia,"3,240",5,5,975,"2,260"
 2007,Africa Sub-Saharan,South Africa,"420,000","13,400",875,"1,590","404,000"
 2007,Other,South Georgia and South Sandwich Islands,0,0,0,0,0
 2007,EU 14,Spain,z,z,z,z,z
 2007,Asia South,Sri Lanka,"61,400","1,560","2,900",920,"56,000"
 2007,Other,St. Helena (British),"1,070",5,20,5,"1,030"
 2007,America Central and South,St. Kitts and Nevis,"4,900",65,100,50,"4,690"
 2007,America Central and South,St. Lucia,*,0,0,0,*
 2007,America Central and South,St. Maarten (Dutch Part),z,z,z,z,z
 2007,America Central and South,St. Martin (French Part),0,0,0,0,0
 2007,America Central and South,St. Pierre and Miquelon,60,0,*,*,60
 2007,America Central and South,St. Vincent and the Grenadines,"3,290",40,55,35,"3,160"
 2007,Other,Stateless,"9,890",40,130,150,"9,570"
 2007,Africa North,Sudan,"13,100",225,450,170,"12,200"
 2007,Africa Sub-Saharan,Sudan (South),z,z,z,z,z
 2007,America Central and South,Surinam,400,*,10,*,390
 2007,Europe Other,Svalbard and Jan Mayen,225,0,10,0,215
 2007,Africa Sub-Saharan,Swaziland,"1,160",35,25,5,"1,090"
 2007,EU 14,Sweden,z,z,z,z,z
 2007,Europe Other,Switzerland,z,z,z,z,z
 2007,Middle East,Syria,"12,600",145,755,90,"11,600"
 2007,Asia East,Taiwan,"58,400",335,"6,610",100,"51,400"
 2007,Asia Central,Tajikistan,695,10,80,5,600
 2007,Africa Sub-Saharan,Tanzania,"15,400",195,995,175,"14,000"
 2007,Asia South East,Thailand,"80,800",910,"5,130","2,300","72,500"
 2007,Africa Sub-Saharan,Togo,860,5,30,5,820
 2007,Oceania,Tokelau,0,0,0,0,0
 2007,Oceania,Tonga,435,10,5,*,415
 2007,America Central and South,Trinidad and Tobago,"33,000",565,535,105,"31,800"
 2007,Africa North,Tunisia,"11,600",100,540,205,"10,700"
 2007,Europe Other,Turkey,"147,000","1,830","8,670","1,340","135,000"
 2007,Asia Central,Turkmenistan,"2,990",25,185,10,"2,770"
 2007,Other,Turks and Caicos Islands (British),105,0,10,0,100
 2007,Oceania,Tuvalu,270,0,*,0,265
 2007,Africa Sub-Saharan,Uganda,"15,700",265,550,175,"14,700"
 2007,Europe Other,Ukraine,"69,500","5,180","2,340",430,"61,500"
 2007,Middle East,United Arab Emirates,"48,200",115,"1,480",10,"46,600"
 2007,America North,United States,"4,100,000","28,600","110,000","2,790","3,960,000"
 2007,America Central and South,Uruguay,"5,570",45,180,10,"5,340"
 2007,Asia Central,Uzbekistan,"5,640",105,"1,110",40,"4,380"
 2007,Oceania,Vanuatu,50,5,*,0,45
 2007,Europe Other,Vatican City,345,10,*,0,335
 2007,America Central and South,Venezuela,"30,100",295,"1,360",75,"28,400"
 2007,Asia South East,Vietnam,"12,300",150,"1,770",160,"10,200"
 2007,Other,Virgin Islands (British),0,0,0,0,0
 2007,America North,Virgin Islands (US),*,0,0,0,*
 2007,Oceania,Wallis and Futuna,20,*,0,0,20
 2007,Africa North,Western Sahara,0,0,0,0,0
 2007,Middle East,Yemen,"5,380",120,310,210,"4,740"
 2007,Africa Sub-Saharan,Zambia,"13,200",465,565,75,"12,000"
 2007,Africa Sub-Saharan,Zimbabwe,"39,400","1,260",480,375,"37,200"
 2008,*Total,*Total,"12,400,000","183,000","384,000","52,500","11,800,000"
 2008,Africa North,*Total Africa North,"156,000","2,190","9,600","1,370","143,000"
 2008,Africa Sub-Saharan,*Total Africa Sub-Saharan,"1,020,000","20,600","23,300","8,580","968,000"
 2008,America North,*Total America North,"4,730,000","38,700","103,000","3,090","4,590,000"
 2008,America Central and South,*Total America Central and South ,"669,000","6,460","27,500","2,890","633,000"
 2008,Asia Central,*Total Asia Central,"47,900",480,"5,180","1,670","40,600"
 2008,Asia East,*Total Asia East,"1,220,000","11,400","71,500","2,160","1,140,000"
 2008,Asia South,*Total Asia South,"1,300,000","49,800","49,100","21,000","1,180,000"
 2008,Asia South East,*Total Asia South East,"535,000","11,900","24,700","4,710","494,000"
 2008,EU 14,*Total EU 14,z,z,z,z,z
 2008,EU 2,*Total EU 2,z,z,z,z,z
 2008,EU 8,*Total EU 8,z,z,z,z,z
 2008,EU Other,*Total EU Other,"54,800",210,"1,060",45,"53,500"
 2008,Europe Other,*Total Europe Other,"605,000","7,940","32,900","3,080","561,000"
 2008,Middle East,*Total Middle East,"626,000","3,580","32,100","2,240","589,000"
 2008,Oceania,*Total Oceania,"1,420,000","29,500","3,190","1,560","1,390,000"
 2008,Other,*Total Other,"47,700",115,460,170,"47,000"
 2008,Asia Central,Afghanistan,"12,000",65,135,"1,550","10,300"
 2008,Europe Other,Albania,"18,700",110,365,290,"18,000"
 2008,Africa North,Algeria,"28,100",210,620,320,"27,000"
 2008,Oceania,American Samoa,15,0,0,0,15
 2008,Europe Other,Andorra,735,0,35,0,700
 2008,Africa Sub-Saharan,Angola,"7,240",60,400,20,"6,750"
 2008,Other,Anguilla (British),0,0,0,0,0
 2008,America Central and South,Antigua and Barbuda,"2,580",5,25,10,"2,540"
 2008,America Central and South,Argentina,"58,800","1,400","1,320",70,"56,000"
 2008,Europe Other,Armenia,"3,030",45,175,10,"2,800"
 2008,America Central and South,Aruba,70,0,5,0,65
 2008,Oceania,Australia,"1,110,000","22,300","2,610",975,"1,080,000"
 2008,EU 14,Austria,z,z,z,z,z
 2008,Europe Other,Azerbaijan,"9,430",160,555,45,"8,670"
 2008,America Central and South,"Bahamas, The","3,210",20,85,5,"3,100"
 2008,Middle East,Bahrain,"22,600",85,805,10,"21,700"
 2008,Asia South,Bangladesh,"54,600","1,660","4,240","2,890","45,800"
 2008,America Central and South,Barbados,"12,500",95,170,45,"12,200"
 2008,Europe Other,Belarus,"16,800",225,535,90,"15,900"
 2008,EU 14,Belgium,z,z,z,z,z
 2008,America Central and South,Belize,"1,340",10,20,5,"1,310"
 2008,Africa Sub-Saharan,Benin,"1,070",*,35,5,"1,020"
 2008,Other,Bermuda (British),135,0,*,0,130
 2008,Asia South,Bhutan,145,*,15,5,130
 2008,America Central and South,Bolivia,"6,470",60,180,40,"6,190"
 2008,America Central and South,"Bonaire, Sint Eustatius and Saba",z,z,z,z,z
 2008,Europe Other,Bosnia and Herzegovina,"7,040",75,190,35,"6,740"
 2008,Africa Sub-Saharan,Botswana,"5,180",100,425,25,"4,630"
 2008,America Central and South,Brazil,"239,000","1,550","11,400",690,"226,000"
 2008,Other,British overseas citizens,"6,040",15,120,5,"5,900"
 2008,Asia South East,Brunei,"10,600",130,"1,100",5,"9,340"
 2008,EU 2,Bulgaria,z,z,z,z,z
 2008,Africa Sub-Saharan,Burkina,400,*,35,0,365
 2008,Asia South East,Burma,"3,590",95,345,55,"3,100"
 2008,Africa Sub-Saharan,Burundi,740,*,15,20,700
 2008,Asia South East,Cambodia,830,15,50,25,745
 2008,Africa Sub-Saharan,Cameroon,"9,650",110,330,80,"9,130"
 2008,America North,Canada,"1,020,000","7,440","6,440",640,"1,000,000"
 2008,Africa Sub-Saharan,Cape Verde,350,5,20,0,320
 2008,Other,Cayman Islands (British),5,0,0,0,5
 2008,Africa Sub-Saharan,Central African Republic,110,*,30,*,80
 2008,Africa Sub-Saharan,Chad,250,*,25,10,215
 2008,America Central and South,Chile,"29,200",210,"1,440",45,"27,500"
 2008,Asia East,China,"300,000","4,900","33,500","1,160","261,000"
 2008,Oceania,Christmas Island,0,0,0,0,0
 2008,Oceania,Cocos (Keeling) Islands,15,0,0,0,15
 2008,America Central and South,Colombia,"42,800",430,"5,510",290,"36,600"
 2008,Africa Sub-Saharan,Comoros,150,0,*,*,145
 2008,Africa Sub-Saharan,Congo,"4,740",20,95,85,"4,540"
 2008,Africa Sub-Saharan,Congo (Democratic Republic),"2,470",20,30,175,"2,250"
 2008,Oceania,Cook Islands,*,0,*,0,0
 2008,America Central and South,Costa Rica,"5,620",25,70,10,"5,520"
 2008,EU Other,Croatia,"54,800",210,"1,060",45,"53,500"
 2008,America Central and South,Cuba,"4,160",250,60,95,"3,760"
 2008,America Central and South,Curacao,z,z,z,z,z
 2008,EU Other,Cyprus,z,z,z,z,z
 2008,Europe Other,Cyprus (Northern part of),785,5,15,5,760
 2008,EU 8,Czech Republic,z,z,z,z,z
 2008,EU 14,Denmark,z,z,z,z,z
 2008,Africa Sub-Saharan,Djibouti,205,*,*,5,195
 2008,America Central and South,Dominica,"1,400",15,15,15,"1,360"
 2008,America Central and South,Dominican Republic,"2,470",30,65,70,"2,300"
 2008,Asia South East,East Timor,40,0,*,0,40
 2008,America Central and South,Ecuador,"6,580",45,425,75,"6,040"
 2008,Africa North,Egypt,"53,100","1,120","1,330",265,"50,400"
 2008,America Central and South,El Salvador,"2,080",10,20,5,"2,050"
 2008,Africa Sub-Saharan,Equatorial Guinea,285,5,40,0,240
 2008,Africa Sub-Saharan,Eritrea,"1,780",170,10,120,"1,480"
 2008,EU 8,Estonia,z,z,z,z,z
 2008,Africa Sub-Saharan,Ethiopia,"6,710",340,145,330,"5,900"
 2008,Other,Falkland Islands (British),5,*,0,0,*
 2008,Europe Other,Faroe Islands,270,0,*,0,270
 2008,Oceania,Fiji,"3,720",35,30,90,"3,570"
 2008,EU 14,Finland,z,z,z,z,z
 2008,Europe Other,Former Yugoslavia,"22,000",45,765,5,"21,200"
 2008,EU 14,France,z,z,z,z,z
 2008,America Central and South,French Guiana,25,0,*,0,25
 2008,Oceania,French Polynesia,0,0,0,0,0
 2008,Africa Sub-Saharan,Gabon,805,20,30,*,750
 2008,Africa Sub-Saharan,"Gambia, The","9,920",75,570,330,"8,940"
 2008,Europe Other,Georgia,"8,760",115,775,40,"7,830"
 2008,EU 14,Germany,z,z,z,z,z
 2008,Africa Sub-Saharan,Ghana,"60,500","1,050","1,140",735,"57,600"
 2008,Other,Gibraltar (British),15,0,0,0,15
 2008,EU 14,Greece,z,z,z,z,z
 2008,Europe Other,Greenland,10,0,0,0,10
 2008,America Central and South,Grenada,"3,020",25,45,30,"2,920"
 2008,America Central and South,Guadeloupe,0,0,0,0,0
 2008,Oceania,Guam,5,0,0,*,5
 2008,America Central and South,Guatemala,"3,420",25,80,10,"3,300"
 2008,Africa Sub-Saharan,Guinea,"1,590",35,55,35,"1,460"
 2008,Africa Sub-Saharan,Guinea-Bissau,225,0,10,5,215
 2008,America Central and South,Guyana,"4,420",65,65,55,"4,240"
 2008,America Central and South,Haiti,445,5,10,5,430
 2008,Oceania,Heard Island and McDonald Islands,0,0,0,0,0
 2008,America Central and South,Honduras,"2,000",15,15,5,"1,970"
 2008,Asia East,Hong Kong,"118,000",505,"6,450",165,"111,000"
 2008,EU 8,Hungary,z,z,z,z,z
 2008,Europe Other,Iceland,z,z,z,z,z
 2008,Asia South,India,"908,000","42,900","30,800","6,200","828,000"
 2008,Asia South East,Indonesia,"27,900","1,660","1,010",125,"25,100"
 2008,Middle East,Iran,"59,200",615,"2,850",405,"55,400"
 2008,Middle East,Iraq,"12,200",140,855,"1,160","10,100"
 2008,EU 14,Ireland,z,z,z,z,z
 2008,Middle East,Israel,"176,000",745,"1,290",145,"174,000"
 2008,EU 14,Italy,z,z,z,z,z
 2008,Africa Sub-Saharan,Ivory Coast,"3,900",60,105,25,"3,710"
 2008,America Central and South,Jamaica,"23,000",680,215,830,"21,200"
 2008,Asia East,Japan,"503,000","4,590","13,800",450,"484,000"
 2008,Middle East,Jordan,"24,400",185,"1,130",75,"23,000"
 2008,Asia Central,Kazakhstan,"24,600",285,"3,830",60,"20,400"
 2008,Africa Sub-Saharan,Kenya,"46,000",585,"1,160",515,"43,700"
 2008,Oceania,Kiribati,185,0,0,*,185
 2008,Asia East,Korea (North),295,0,5,0,295
 2008,Asia East,Korea (South),"242,000","1,050","11,300",265,"230,000"
 2008,Europe Other,Kosovo,"3,780",5,60,120,"3,600"
 2008,Middle East,Kuwait,"70,500",185,"1,710",15,"68,600"
 2008,Asia Central,Kyrgyzstan,"2,230",20,190,15,"2,000"
 2008,Asia South East,Laos,240,0,5,10,225
 2008,EU 8,Latvia,z,z,z,z,z
 2008,Middle East,Lebanon,"27,500",285,495,105,"26,600"
 2008,Africa Sub-Saharan,Lesotho,915,45,15,*,855
 2008,Africa Sub-Saharan,Liberia,"1,090",10,20,15,"1,040"
 2008,Africa North,Libya,"23,700",140,"6,280",75,"17,200"
 2008,Europe Other,Liechtenstein,z,z,z,z,z
 2008,EU 8,Lithuania,z,z,z,z,z
 2008,EU 14,Luxembourg,z,z,z,z,z
 2008,Asia East,Macau,"1,230",5,115,5,"1,110"
 2008,Europe Other,Macedonia,"6,090",90,290,45,"5,670"
 2008,Africa Sub-Saharan,Madagascar,695,15,35,*,650
 2008,Africa Sub-Saharan,Malawi,"5,210",120,380,40,"4,670"
 2008,Asia South East,Malaysia,"188,000","1,980","7,470",285,"178,000"
 2008,Asia South,Maldives,"1,630",15,95,5,"1,510"
 2008,Africa Sub-Saharan,Mali,905,55,35,*,815
 2008,EU Other,Malta,z,z,z,z,z
 2008,Oceania,Marshall Islands,30,*,5,0,25
 2008,America Central and South,Martinique,*,0,0,0,*
 2008,Africa North,Mauritania,"2,820",5,35,0,"2,780"
 2008,Africa Sub-Saharan,Mauritius,"38,400",350,"1,060",320,"36,700"
 2008,Africa Sub-Saharan,Mayotte,30,*,5,0,20
 2008,America Central and South,Mexico,"114,000",535,"3,460",130,"110,000"
 2008,Oceania,Micronesia,25,0,0,0,25
 2008,Europe Other,Moldova,"4,070",225,130,20,"3,690"
 2008,Europe Other,Monaco,"1,210",5,20,0,"1,190"
 2008,Asia East,Mongolia,"3,670",30,365,20,"3,260"
 2008,Europe Other,Montenegro,"1,300",10,210,*,"1,080"
 2008,Other,Montserrat (British),40,0,0,0,40
 2008,Africa North,Morocco,"25,300",335,620,370,"23,900"
 2008,Africa Sub-Saharan,Mozambique,"1,200",45,35,5,"1,110"
 2008,Africa Sub-Saharan,Namibia,"4,370",90,45,20,"4,210"
 2008,Oceania,Nauru,85,0,0,0,85
 2008,Asia South,Nepal,"26,400",645,825,"2,840","22,100"
 2008,EU 14,Netherlands,z,z,z,z,z
 2008,America Central and South,Netherlands Antilles,0,0,0,0,0
 2008,Oceania,New Caledonia,30,0,0,0,30
 2008,Oceania,New Zealand,"305,000","7,120",490,475,"297,000"
 2008,America Central and South,Nicaragua,"1,220",10,15,10,"1,180"
 2008,Africa Sub-Saharan,Niger,580,20,15,*,540
 2008,Africa Sub-Saharan,Nigeria,"305,000","2,240","12,700","1,940","288,000"
 2008,Oceania,Niue,5,0,0,0,5
 2008,Oceania,Norfolk Island,0,0,0,0,0
 2008,Oceania,Northern Mariana Islands,0,0,0,0,0
 2008,Europe Other,Norway,z,z,z,z,z
 2008,Middle East,Occupied Palestinian Territories,"2,600",45,205,15,"2,340"
 2008,Middle East,Oman,"15,800",75,"1,670",10,"14,000"
 2008,Other,Other and unknown,"12,200",80,210,130,"11,800"
 2008,Asia South,Pakistan,"243,000","2,980","9,710","8,010","222,000"
 2008,Oceania,Palau,50,0,0,0,50
 2008,America Central and South,Panama,"3,300",10,150,10,"3,130"
 2008,Oceania,Papua New Guinea,585,5,35,5,540
 2008,America Central and South,Paraguay,"1,870",20,35,10,"1,810"
 2008,America Central and South,Peru,"10,800",95,415,105,"10,200"
 2008,Asia South East,Philippines,"118,000","6,450","5,680","1,870","104,000"
 2008,Other,Pitcairn Islands (British),10,0,0,0,10
 2008,EU 8,Poland,z,z,z,z,z
 2008,EU 14,Portugal,z,z,z,z,z
 2008,America North,Puerto Rico,5,0,0,0,5
 2008,Middle East,Qatar,"31,700",90,"1,440",5,"30,100"
 2008,Other,Refugee,"27,800",15,105,25,"27,700"
 2008,Africa Sub-Saharan,Reunion,40,0,20,0,20
 2008,EU 2,Romania,z,z,z,z,z
 2008,Europe Other,Russia,"250,000","3,710","14,600",640,"231,000"
 2008,Africa Sub-Saharan,Rwanda,"1,420",15,95,25,"1,280"
 2008,Oceania,Samoa,445,10,0,*,430
 2008,Europe Other,San Marino,485,0,15,0,475
